module_name,current_version,newest_version,links,notes,tag
Microsoft.AspNetCore.Identity.EntityFrameworkCore.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.identity.entityframeworkcore/index.json,,1
Microsoft.CodeAnalysis.CSharp.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.codeanalysis.csharp/index.json,,1
Microsoft.IdentityModel.Abstractions.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.abstractions/index.json,,1
Microsoft.AI.EventCounterCollector.dll,,,,,0
Microsoft.AspNetCore.Mvc.NewtonsoftJson.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.mvc.newtonsoftjson/index.json,,1
System.Data.SqlClient.dll,,,https://api.nuget.org/v3-flatcontainer/system.data.sqlclient/index.json,,1
System.Security.Permissions.dll,,,https://api.nuget.org/v3-flatcontainer/system.security.permissions/index.json,,1
Microsoft.CodeAnalysis.Workspaces.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.codeanalysis.workspaces.common/index.json,,1
Microsoft.Identity.Client.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identity.client/index.json,,1
System.Composition.Hosting.dll,,,https://api.nuget.org/v3-flatcontainer/system.composition.hosting/index.json,,1
Microsoft.Bcl.AsyncInterfaces.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.bcl.asyncinterfaces/index.json,,1
System.Memory.Data.dll,,,https://api.nuget.org/v3-flatcontainer/system.memory.data/index.json,,1
Microsoft.Azure.Services.AppAuthentication.dll,,,,,0
Microsoft.IdentityModel.JsonWebTokens.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.jsonwebtokens/index.json,,1
System.Composition.Runtime.dll,,,https://api.nuget.org/v3-flatcontainer/system.composition.runtime/index.json,,1
Microsoft.AI.WindowsServer.dll,,,,,0
Microsoft.AI.ServerTelemetryChannel.dll,,,,,0
System.ServiceModel.Syndication.dll,,,https://api.nuget.org/v3-flatcontainer/system.servicemodel.syndication/index.json,,1
Microsoft.Data.SqlClient.SNI.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.data.sqlclient.sni/index.json,,1
Microsoft.ServiceProfiler.Agent.FrontendClient.Profiler.dll,,,,,0
System.Private.ServiceModel.dll,,,,,0
Microsoft.ApplicationInsights.Profiler.AspNetCore.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.profiler.aspnetcore/index.json,,1
Mediachase.Search.Extensions.Azure.dll,,,,,0
Mediachase.Search.LuceneAzureSearchProvider.dll,,,,,0
Mediachase.Commerce.Plugins.Shipping.dll,,,,,0
Mediachase.Search.dll,,,,,0
Mediachase.Commerce.Workflow.dll,,,,,0
Mediachase.MetaDataPlus.dll,,,,,0
Mediachase.BusinessFoundation.Data.dll,,,,,0
